TransactionID,Timestamp,CustomerID,ProductCategory,Amount,Region
T001,2025-07-23 09:00:00,C101,Electronics,500.00,North
T002,2025-07-23 09:15:30,C102,Books,35.50,East
T003,2025-07-23 10:00:00,C101,Electronics,120.00,North
T004,2025-07-23 11:30:00,C103,Clothing,75.00,South
T005,2025-07-23 12:45:00,C104,Home & Kitchen,150.00,West
T006,2025-07-23 13:00:00,C105,Books,20.00,East
T007,2025-07-23 14:15:00,C106,Electronics,300.00,North
T008,2025-07-23 15:30:00,C107,Clothing,60.00,South
T009,2025-07-23 16:45:00,C108,Home & Kitchen,200.00,West
T010,2025-07-23 17:00:00,C109,Books,45.00,East
T011,2025-07-23 18:15:00,C110,Electronics,400.00,North
T012,2025-07-23 19:30:00,C111,Clothing,80.00,South
T013,2025-07-23 20:45:00,C112,Home & Kitchen,100.00,West
T014,2025-07-23 21:00:00,C113,Books,30.00,East
T015,2025-07-23 22:15:00,C114,Electronics,250.00,North
T016,2025-07-23 23:30:00,C115,Clothing,90.00,South
T017,2025-07-23 00:45:00,C116,Home & Kitchen,120.00,West
T018,2025-07-24 01:00:00,C117,Books,55.00,East
T019,2025-07-24 02:15:00,C118,Electronics,350.00,North
